9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,1,3,-1,-1,-1,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,7,4,-1,-1,-1,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,-1,-1,-1,-1,-1,8,
9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,0,4,-1,-1,-1,-1,-1,8,
9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,15,15,5,-1,-1,-1,1,2,8,
9,5,-1,-1,-1,-1,-1,-1,-1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,8,9
9,-1,-1,-1,-1,-1,-1,-1,-1,7,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,15,8,
9,-1,-1,-1,1,2,3,-1,-1,6,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,7,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,-1,-1,-1,6,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
9,2,3,-1,-1,-1,-1,-1,1,2,2,2,3,-1,1,2,2,2,2,2,3,-1,-1,-1,8,
9,0,4,-1,-1,-1,-1,-1,7,0,0,0,4,-1,7,0,0,0,0,0,4,-1,-1,-1,8,
